,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-47,21,-42,-22
1,-43,26,-43,-18
2,-41,27,-42,-19
3,-42,24,-41,-21
4,-42,25,-42,-17
5,-45,25,-39,-16
6,-50,25,-47,-17
7,-46,26,-41,-17
8,-44,25,-40,-15
9,-44,21,-37,-15
10,-42,18,-41,-7
11,-48,22,-49,-8
12,-41,24,-44,-12
13,-42,25,-44,-13
14,-42,24,-40,-10
15,-38,18,-50,-19
16,-47,24,-51,-46
17,-42,33,-50,-15
18,-38,34,-54,-24
19,-40,28,-53,-90
20,-41,25,-51,-12
21,-39,27,-56,-19
22,-37,36,-51,-19
23,-42,28,-56,-31
24,-43,29,-49,-4
