,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-8,-44,-33,-23
1,-8,-41,-32,-25
2,-5,-41,-32,-23
3,-5,-40,-31,-20
4,-8,-45,-30,-21
5,-6,-41,-35,-23
6,-7,-38,-33,-26
7,-9,-44,-30,-20
8,-3,-41,-34,-20
9,-5,-44,-28,-25
10,-5,-44,-32,-27
11,-1,-42,-29,-22
12,-6,-42,-27,-28
13,-9,-47,-30,-27
14,-7,-44,-28,-28
15,-5,-40,-30,-26
16,-7,-40,-26,-23
17,-4,-44,-33,-28
18,-10,-45,-29,-25
19,-4,-46,-31,-26
20,-6,-46,-30,-26
21,-3,-42,-31,-25
22,-8,-41,-28,-22
23,-5,-48,-31,-29
24,-4,-44,-29,-20
