Timestamp(ms),Current(uA),D0-D7
0,8213.727,00000000
0.01,7898.003,00000000
0.02,8213.727,00000000
0.03,8213.727,00000000
0.04,8258.887,00000000
0.05,8078.331,00000000
0.06,8213.727,00000000
0.07,8168.581,00000000
0.08,7988.138,00000000
0.09,8168.581,00000000
0.1,8168.581,00000000
0.11,8078.331,00000000
0.12,8168.581,00000000
0.13,7943.063,00000000
0.14,8078.331,00000000
0.15,8168.581,00000000
0.16,8078.331,00000000
0.17,8078.331,00000000
0.18,8078.331,00000000
0.19,8258.887,00000000
0.2,7943.063,00000000
0.21,8078.331,00000000
0.22,8123.449,00000000
0.23,8258.887,00000000
0.24,8258.887,00000000
0.25,8033.228,00000000
0.26,8168.581,00000000
0.27,8078.331,00000000
0.28,8213.727,00000000
0.29,8213.727,00000000
0.3,8078.331,00000000
0.31,8168.581,00000000
0.32,7852.957,00000000
0.33,8168.581,00000000
0.34,8078.331,00000000
0.35,7988.138,00000000
0.36,8213.727,00000000
0.37,8168.581,00000000
0.38,8123.449,00000000
0.39,8078.331,00000000
0.4,8711.277,00000000
0.41,8801.927,00000000
0.42,8078.331,00000000
0.43,7538.032,00000000
0.44,7717.903,00000000
0.45,7898.003,00000000
0.46,8078.331,00000000
0.47,8033.228,00000000
0.48,7898.003,00000000
0.49,7988.138,00000000
0.5,8168.581,00000000
0.51,8168.581,00000000
0.52,8258.887,00000000
0.53,8168.581,00000000
0.54,8168.581,00000000
0.55,8123.449,00000000
0.56,8258.887,00000000
0.57,8078.331,00000000
0.58,8123.449,00000000
0.59,8168.581,00000000
0.6,8304.062,00000000
0.61,8394.454,00000000
0.62,8033.228,00000000
0.63,8078.331,00000000
0.64,8123.449,00000000
0.65,8213.727,00000000
0.66,7988.138,00000000
0.67,7852.957,00000000
0.68,8213.727,00000000
0.69,8123.449,00000000
0.7,8078.331,00000000
0.71,8304.062,00000000
0.72,8033.228,00000000
0.73,8168.581,00000000
0.74,8033.228,00000000
0.75,8168.581,00000000
0.76,8168.581,00000000
0.77,8168.581,00000000
0.78,8213.727,00000000
0.79,8078.331,00000000
0.8,8213.727,00000000
0.81,8304.062,00000000
0.82,8078.331,00000000
0.83,8123.449,00000000
