Timestamp(ms),Current(uA),D0-D7
0,5973.901,00000000
0.01,6018.348,00000000
0.02,6018.348,00000000
0.03,6062.809,00000000
0.04,5885.050,00000000
0.05,6018.348,00000000
0.06,6018.348,00000000
0.07,6151.774,00000000
0.08,6062.809,00000000
0.09,5885.050,00000000
0.1,5929.469,00000000
0.11,5885.050,00000000
0.12,6151.774,00000000
0.13,5929.469,00000000
0.14,6062.809,00000000
0.15,6018.348,00000000
0.16,5929.469,00000000
0.17,6018.348,00000000
0.18,6107.285,00000000
0.19,6062.809,00000000
0.2,5840.646,00000000
0.21,6196.278,00000000
0.22,5751.881,00000000
0.23,6107.285,00000000
0.24,6018.348,00000000
0.25,6107.285,00000000
0.26,6018.348,00000000
0.27,6062.809,00000000
0.28,5796.257,00000000
0.29,6018.348,00000000
0.3,6062.809,00000000
0.31,6062.809,00000000
0.32,6062.809,00000000
0.33,5796.257,00000000
0.34,6062.809,00000000
0.35,6018.348,00000000
0.36,6062.809,00000000
0.37,6062.809,00000000
0.38,6018.348,00000000
0.39,6018.348,00000000
0.4,5885.050,00000000
0.41,6062.809,00000000
0.42,5885.050,00000000
0.43,6018.348,00000000
0.44,5973.901,00000000
0.45,6196.278,00000000
0.46,6018.348,00000000
0.47,5929.469,00000000
0.48,6062.809,00000000
0.49,5929.469,00000000
0.5,6062.809,00000000
0.51,5929.469,00000000
0.52,6018.348,00000000
0.53,5973.901,00000000
0.54,6151.774,00000000
0.55,5840.646,00000000
0.56,6062.809,00000000
0.57,5973.901,00000000
0.58,6018.348,00000000
0.59,6151.774,00000000
0.6,6062.809,00000000
0.61,5929.469,00000000
0.62,5929.469,00000000
0.63,6240.796,00000000
0.64,5929.469,00000000
0.65,6107.285,00000000
0.66,5885.050,00000000
0.67,6062.809,00000000
0.68,6285.329,00000000
0.69,6597.456,00000000
0.7,5751.881,00000000
0.71,5796.257,00000000
0.72,5840.646,00000000
0.73,5796.257,00000000
0.74,5885.050,00000000
0.75,5885.050,00000000
0.76,6107.285,00000000
0.77,5885.050,00000000
0.78,6240.796,00000000
0.79,5840.646,00000000
0.8,6018.348,00000000
0.81,6107.285,00000000
0.82,6107.285,00000000
0.83,6151.774,00000000
0.84,6062.809,00000000
0.85,6062.809,00000000
0.86,5663.173,00000000
0.87,5929.469,00000000
0.88,5840.646,00000000
0.89,6107.285,00000000
0.9,6018.348,00000000
0.91,5929.469,00000000
0.92,5885.050,00000000
0.93,6107.285,00000000
0.94,5840.646,00000000
0.95,6062.809,00000000
0.96,6062.809,00000000
0.97,6062.809,00000000
0.98,6062.809,00000000
0.99,6018.348,00000000
1,6018.348,00000000
1.01,5929.469,00000000
1.02,6196.278,00000000
1.03,5929.469,00000000
1.04,5885.050,00000000
1.05,6062.809,00000000
1.06,6062.809,00000000
1.07,6151.774,00000000
1.08,6018.348,00000000
1.09,6062.809,00000000
1.1,6018.348,00000000
1.11,6240.796,00000000
1.12,5929.469,00000000
1.13,6018.348,00000000
1.14,6062.809,00000000
1.15,5840.646,00000000
1.16,5973.901,00000000
1.17,6196.278,00000000
1.18,6018.348,00000000
1.19,5929.469,00000000
1.2,6107.285,00000000
1.21,6018.348,00000000
1.22,6107.285,00000000
1.23,5973.901,00000000
1.24,6107.285,00000000
1.25,5929.469,00000000
1.26,6151.774,00000000
1.27,6062.809,00000000
1.28,6107.285,00000000
1.29,6018.348,00000000
1.3,6151.774,00000000
1.31,6018.348,00000000
1.32,5929.469,00000000
1.33,6151.774,00000000
1.34,5840.646,00000000
1.35,6107.285,00000000
1.36,5973.901,00000000
1.37,6151.774,00000000
1.38,6018.348,00000000
1.39,5929.469,00000000
1.4,5885.050,00000000
1.41,5840.646,00000000
1.42,5929.469,00000000
1.43,6062.809,00000000
1.44,6107.285,00000000
1.45,5973.901,00000000
1.46,6062.809,00000000
1.47,6018.348,00000000
1.48,6018.348,00000000
1.49,6151.774,00000000
1.5,6062.809,00000000
1.51,6240.796,00000000
1.52,6018.348,00000000
1.53,6018.348,00000000
1.54,5840.646,00000000
1.55,6151.774,00000000
1.56,5973.901,00000000
1.57,5973.901,00000000
1.58,5885.050,00000000
1.59,5840.646,00000000
1.6,5929.469,00000000
1.61,6062.809,00000000
1.62,5929.469,00000000
1.63,5885.050,00000000
1.64,6107.285,00000000
1.65,5973.901,00000000
1.66,6151.774,00000000
1.67,5796.257,00000000
1.68,6552.823,00000000
1.69,6597.456,00000000
1.7,6062.809,00000000
1.71,5530.218,00000000
1.72,5751.881,00000000
1.73,5663.173,00000000
1.74,5929.469,00000000
1.75,6107.285,00000000
1.76,5973.901,00000000
1.77,6240.796,00000000
1.78,5929.469,00000000
1.79,6240.796,00000000
1.8,5973.901,00000000
1.81,6062.809,00000000
1.82,6062.809,00000000
1.83,6196.278,00000000
1.84,6062.809,00000000
1.85,6151.774,00000000
1.86,6240.796,00000000
1.87,6062.809,00000000
1.88,6018.348,00000000
1.89,6018.348,00000000
1.9,6018.348,00000000
1.91,5973.901,00000000
1.92,5973.901,00000000
1.93,5840.646,00000000
1.94,6107.285,00000000
1.95,5929.469,00000000
1.96,6107.285,00000000
1.97,6062.809,00000000
1.98,6240.796,00000000
1.99,6151.774,00000000
2,6018.348,00000000
2.01,6107.285,00000000
2.02,6018.348,00000000
2.03,6062.809,00000000
2.04,5885.050,00000000
2.05,5973.901,00000000
2.06,6062.809,00000000
2.07,5885.050,00000000
2.08,6107.285,00000000
2.09,6151.774,00000000
2.1,6151.774,00000000
2.11,5885.050,00000000
2.12,6151.774,00000000
2.13,5885.050,00000000
2.14,6107.285,00000000
2.15,5885.050,00000000
2.16,6062.809,00000000
2.17,5929.469,00000000
2.18,6196.278,00000000
2.19,5973.901,00000000
2.2,5973.901,00000000
2.21,6240.796,00000000
2.22,5973.901,00000000
2.23,5973.901,00000000
2.24,5885.050,00000000
2.25,6107.285,00000000
2.26,5840.646,00000000
2.27,6107.285,00000000
2.28,5796.257,00000000
2.29,6107.285,00000000
2.3,6062.809,00000000
2.31,5973.901,00000000
2.32,6062.809,00000000
2.33,5840.646,00000000
2.34,6062.809,00000000
2.35,5840.646,00000000
2.36,5973.901,00000000
2.37,5840.646,00000000
2.38,6018.348,00000000
2.39,5840.646,00000000
2.4,5840.646,00000000
2.41,5973.901,00000000
2.42,5973.901,00000000
2.43,5973.901,00000000
2.44,5840.646,00000000
2.45,6018.348,00000000
2.46,5973.901,00000000
2.47,6062.809,00000000
2.48,5929.469,00000000
2.49,6062.809,00000000
2.5,5796.257,00000000
2.51,6107.285,00000000
2.52,6018.348,00000000
2.53,5973.901,00000000
2.54,6018.348,00000000
2.55,6062.809,00000000
2.56,6018.348,00000000
2.57,5885.050,00000000
2.58,6196.278,00000000
2.59,5973.901,00000000
2.6,6107.285,00000000
2.61,5973.901,00000000
2.62,6151.774,00000000
2.63,5973.901,00000000
2.64,6018.348,00000000
2.65,6107.285,00000000
2.66,5973.901,00000000
2.67,5973.901,00000000
2.68,6240.796,00000000
2.69,6597.456,00000000
