,antenna_array_1,antenna_array_2,antenna_array_3,antenna_array_4
0,-73,-9,-36,-9
1,-79,-11,-33,-11
2,-74,-10,-37,-9
3,-67,-10,-34,-9
4,-71,-11,-35,-10
5,-70,-11,-33,-10
6,-68,-10,-33,-9
7,-70,-9,-35,-11
8,-70,-10,-33,-11
9,-69,-13,-33,-11
10,-71,-10,-34,-10
11,-69,-11,-36,-10
12,-69,-11,-34,-11
13,-79,-10,-37,-10
14,-78,-9,-33,-11
15,-71,-11,-34,-10
16,-72,-9,-35,-12
17,-70,-10,-36,-11
18,-66,-9,-34,-11
19,-72,-12,-36,-11
20,-77,-11,-37,-10
21,-74,-11,-38,-11
22,-68,-11,-36,-11
23,-76,-10,-35,-11
24,-71,-10,-35,-11
